Package Name,Dependencies,Optional Dependencies,Needed By,Config File Path
biber,perl-autovivification  perl-business-isbn  perl-business-ismn  perl-business-issn  perl-class-accessor  perl-data-compare  perl-data-dump  perl-data-uniqid  perl-datetime-calendar-julian  perl-datetime-format-builder  perl-file-slurper  perl-io-string  perl-ipc-run3  perl-lingua-translit  perl-list-allutils  perl-log-log4perl  perl-lwp-protocol-https  perl-mozilla-ca  perl-parse-recdescent  perl-perlio-utf8-strict  perl-regexp-common  perl-sort-key  perl-text-balanced  perl-text-bibtex  perl-text-csv  perl-text-roman  perl-unicode-linebreak  perl-xml-libxml-simple  perl-xml-libxslt  perl-xml-writer,None,None,/etc/biber.conf
binutils,glibc  jansson  libelf  zlib  zstd,debuginfod,base-devel  gcc  mkinitcpio,/etc/binutils.conf
bison,glibc  m4  sh  gettext,None,base-devel,/etc/bison.conf
blas,gcc-libs,None,cblas  lapack,/etc/blas.conf
bluez-libs,glibc,None,networkmanager,/etc/bluez-libs.conf
brotli,glibc,None,curl  electron22  freetype2  gnutls  libjxl  libsoup  libsoup3  nodejs  woff2,/etc/brotli.conf
btrfs-progs,glibc  util-linux-libs  lzo  zlib  zstd  libgcrypt  systemd-libs,python,None,/etc/btrfs-progs.conf
bzip2,glibc  sh,None,base  ffmpeg  file  freetype2  gnupg  imlib2  libarchive  libelf  pcre  pcre2  python  unzip,/etc/bzip2.conf
c-ares,glibc,None,electron22  nodejs,/etc/c-ares.conf
ca-certificates,ca-certificates-mozilla,None,curl  perl-lwp-protocol-https  perl-mozilla-ca,/etc/ca-certificates.conf
ca-certificates-mozilla,ca-certificates-utils>=20181109-3,None,ca-certificates,/etc/ca-certificates-mozilla.conf
ca-certificates-utils,bash  coreutils  findutils  p11-kit>=0.24.0,None,ca-certificates-mozilla  curl  jre-openjdk-headless  perl-lwp-protocol-https  perl-mozilla-ca,/etc/ca-certificates-utils.conf
cairo,fontconfig  freetype2  glib2  libpng  libx11  libxcb  libxext  libxrender  lzo  pixman  zlib,None,awesome  cairomm  ghostscript  gst-plugins-good  gtk2  gtk3  librsvg  pango  poppler  poppler-glib  python-cairo  spice-gtk  texlive-bin,/etc/cairo.conf
cairomm,cairo  libsigc++  libsigc-2.0.so=0-64,None,gtkmm3  pangomm,/etc/cairomm.conf
cantarell-fonts,None,None,gnome-themes-extra  gsettings-desktop-schemas  gtk3,/etc/cantarell-fonts.conf
catimg,glibc,None,None,/etc/catimg.conf
cblas,blas,None,python-numpy,/etc/cblas.conf
cdparanoia,glibc,None,gst-plugins-base,/etc/cdparanoia.conf
chafa,imagemagick  librsvg  libwebp  libxslt,None,None,/etc/chafa.conf
chaotic-keyring,archlinux-keyring,pkgstats,archlinux-tweak-tool-git,/etc/chaotic-keyring.conf
chaotic-mirrorlist,None,None,archlinux-tweak-tool-git,/etc/chaotic-mirrorlist.conf
chromium,gtk3  nss  alsa-lib  xdg-utils  libxss  libcups  libgcrypt  ttf-liberation  systemd  dbus  libpulse  pciutils  libva  libffi  desktop-file-utils  hicolor-icon-theme  fontconfig  woff2  libjpeg  icu  dav1d  flac  snappy  libxml2  ffmpeg  libwebp  minizip  opus  harfbuzz  re2  jsoncpp  libxslt  libpng  freetype2,pipewire,None,/etc/chromium.conf
colord,lcms2  libgusb  polkit  sqlite  dconf  dbus  libgudev  shared-mime-info  systemd  libcolord=1.4.6-1,argyllcms,xfce4-settings,/etc/colord.conf
coreutils,glibc  acl  attr  gmp  libcap  openssl,None,base  ca-certificates-utils  gzip  java-runtime-common  linux  linux-lts  linux-zen  mkinitcpio  p11-kit  pacman  util-linux,/etc/coreutils.conf
cpio,glibc,None,virt-install,/etc/cpio.conf
cracklib,glibc  zlib,None,libpwquality,/etc/cracklib.conf
cryptsetup,device-mapper  libdevmapper.so=1.02-64  openssl  popt  util-linux-libs  libuuid.so=1-64  json-c  libjson-c.so=5-64  argon2  libargon2.so=1-64,None,libblockdev  systemd  volume_key,/etc/cryptsetup.conf
