Package Name,Dependencies,Optional Dependencies,Needed By,Config File Path
glib2,libffi  libsysprof-capture  pcre2  util-linux-libs  zlib  libffi.so=8-64  libmount.so=1-64,gvfs,at-spi2-core  avahi  cairo  dbus-glib  dbus-python  dconf  desktop-file-utils  gcr-4  gdk-pixbuf2  ghostscript  girara  glib-networking  glibmm  graphene  gsettings-desktop-schemas  gstreamer  gtk3  harfbuzz  json-glib  libass  libblockdev  libcacard  libcloudproviders  libcolord  libdbusmenu-glib  libgirepository  libgtop  libgudev  libgusb  libhandy  liblqr  libmm-glib  libmpd  libnm  libnotify  libosinfo  libproxy  librsvg  libsecret  libsoup  libsoup3  libwacom  libxfce4util  libxklavier  lightdm  lua53-lgi  phodav  pinentry  polkit  poppler-glib  shared-mime-info  spice-gtk  tracker3  udisks2  upower  usbredir  volume_key  xfce4-dev-tools  xscreensaver,/etc/glib2.conf
glib2-docs,None,None,gtk-doc,/etc/glib2-docs.conf
glibc,linux-api-headers>=4.10  tzdata  filesystem,gd,a52dec  aalib  alsa-lib  argon2  attr  audit  base  bash  binutils  bison  bluez-libs  brotli  btrfs-progs  bzip2  c-ares  catimg  cdparanoia  coreutils  cpio  cracklib  dav1d  dbus-glib  dbus-python  debugedit  device-mapper  diffutils  djvulibre  dosfstools  duktape  efibootmgr  efivar  expat  fakeroot  ffcall  fftw  file  findutils  flex  fribidi  fuse3  gawk  gcc-libs  gdbm  ghostscript  giflib  glu  gnupg  gnutls  gperftools  grep  gsm  gumbo-parser  gzip  hwloc  icu  ijs  iniparser  iproute2  iwd  jack2  jansson  jre-openjdk  jre-openjdk-headless  json-c  kbd  keyutils  kmod  krb5  l-smash  less  libaio  libass  libassuan  libasyncns  libatasmart  libavc1394  libavif  libblockdev  libbpf  libburn  libcaca  libcap  libcap-ng  libcdio-paranoia  libconfig  libcups  libdatrie  libdv  libdvdread  libedit  libelf  libepoxy  libev  libevdev  libexif  libffi  libgpg-error  libgtop  libice  libidn  libimobiledevice  libinih  libjpeg-turbo  libksba  libmnl  libmpeg2  libndp  libnet  libnfnetlink  libnghttp2  libnl  libnsl  libogg  libomxil-bellagio  libopenmpt  libosinfo  libp11-kit  libpaper  libpcap  libpciaccess  libpgm  libpipeline  libplist  libpwquality  libraw1394  libsamplerate  libsasl  libseccomp  libsigsegv  libsndfile  libsodium  libstemmer  libsynctex  libtasn1  libthai  libtheora  libtiff  libtool  libtraceevent  libtracefs  libunistring  liburcu  libusb  libusbmuxd  libutempter  libuv  libverto  libvterm  libx11  libxau  libxcb  libxcrypt  libxcvt  libxdg-basedir  libxdmcp  libxklavier  libxshmfence  libyaml  lsof  lua53-lgi  lz4  lzo  m4  make  md4c  mdadm  mkinitcpio-busybox  mpfr  msgpack-c  mtdev  ncurses  nettle  npth  nspr  numactl  ocl-icd  opencore-amr  openmpi  openpmix  openssh  openssl  opus  orc  pacman  pam  patch  pciutils  pcre  perl  pinentry  pixman  pkgconf  poppler  poppler-glib  popt  portaudio  procps-ng  python-yaml  rav1e  rclone  readline  sdl2  sed  shadow  snappy  startup-notification  sudo  svt-av1  syncthing  systemd-libs  tar  tdb  tree  tslib  twolame  udisks2  unibilium  usbutils  util-linux-libs  vid.stab  vim  visual-studio-code-bin  volume_key  vulkan-icd-loader  wavpack  wayland  wget  which  xorg-bdftopcf  xorg-sessreg  xorg-xrdb  xorg-xwd  xscreensaver  xvidcore  yajl  zeromq  zimg  zlib  zstd,/etc/glibc.conf
glibmm,glib2  libsigc++  libsigc-2.0.so=0-64,None,atkmm  gtkmm3  pangomm,/etc/glibmm.conf
glu,libgl  gcc-libs  glibc,None,libcaca  xscreensaver,/etc/glu.conf
gmp,gcc-libs  sh,None,coreutils  ffmpeg  ghc-libs  gnutls  guile  libisl  mpfr  nettle,/etc/gmp.conf
gnome-keyring,gcr  gcr-4  pam  openssh,None,seahorse,/etc/gnome-keyring.conf
gnome-themes-extra,cantarell-fonts,gtk-engines,xfce4-settings,/etc/gnome-themes-extra.conf
gnupg,bzip2  libbz2.so=1.0-64  glibc  gnutls  libgcrypt  libgpg-error  libksba  libassuan  libassuan.so=0-64  npth  libnpth.so=0-64  pinentry  readline  libreadline.so=8-64  sqlite  zlib,libldap,gpgme  pacman  visual-studio-code-bin,/etc/gnupg.conf
gnutls,glibc  gcc-libs  gmp  libtasn1  readline  zlib  nettle  libp11-kit  libidn2  zstd  libidn2.so=0-64  libunistring  brotli,tpm2-tss,ffmpeg  glib-networking  gnupg  gtk-vnc  libcups  libvirt  vte3  wget  xfce4-mailwatch-plugin  zeromq,/etc/gnutls.conf
go,None,None,None,/etc/go.conf
gobject-introspection-runtime,libgirepository=1.76.1-3,None,lua53-lgi  python-gobject,/etc/gobject-introspection-runtime.conf
gperftools,gcc-libs  glibc  libunwind,graphviz,libjxl,/etc/gperftools.conf
gpgme,libgpg-error  gnupg>=2,None,pacman  poppler  seahorse  volume_key,/etc/gpgme.conf
gpm,bash  procps-ng,None,aalib  libnewt  vim  w3m,/etc/gpm.conf
gptfdisk,gcc-libs  popt  libuuid.so=1-64  libncursesw.so=6-64,None,libblockdev,/etc/gptfdisk.conf
graphene,libglib-2.0.so=0-64  libgobject-2.0.so=0-64,None,gst-plugins-base,/etc/graphene.conf
graphite,gcc-libs,graphite-docs,harfbuzz  texlive-bin,/etc/graphite.conf
grep,glibc  pcre2,None,base  base-devel  git  gzip  mkinitcpio  pacman,/etc/grep.conf
groff,perl  gcc-libs,netpbm,base-devel  man-db,/etc/groff.conf
grub,sh  xz  gettext  device-mapper,freetype2,None,/etc/grub.conf
gsettings-desktop-schemas,adobe-source-code-pro-fonts  cantarell-fonts  dconf  glib2,None,at-spi2-core  glib-networking  gvfs,/etc/gsettings-desktop-schemas.conf
gsm,glibc,None,ffmpeg,/etc/gsm.conf
gst-plugins-base,gst-plugins-base-libs=1.22.5  alsa-lib  cdparanoia  graphene  libjpeg  libpng  libtheora  libvorbis  opus  pango,None,parole  spice-gtk,/etc/gst-plugins-base.conf
gst-plugins-base-libs,gstreamer=1.22.5  iso-codes  libgl  libgudev  libxi  libxv  mesa  orc  wayland,None,gst-plugins-base  gst-plugins-good  gst-plugins-ugly  onlyoffice-bin  xfburn,/etc/gst-plugins-base-libs.conf
gst-plugins-good,gst-plugins-base-libs=1.22.5  aalib  cairo  flac  gdk-pixbuf2  gst-plugins-base-libs  lame  libavc1394  libcaca  libdv  libgudev  libiec61883  libpulse  libraw1394  libshout  libsoup3  libvpx  libxdamage  mpg123  nettle  speex  taglib  twolame  v4l-utils  wavpack  libjack.so=0-64,None,parole  spice-gtk,/etc/gst-plugins-good.conf
gst-plugins-ugly,gst-plugins-base-libs=1.22.5  a52dec  libcdio  libdvdread  libmpeg2  opencore-amr  x264,None,onlyoffice-bin,/etc/gst-plugins-ugly.conf
gstreamer,glib2  libcap  libelf  libunwind  libxml2,python,gst-plugins-base-libs  onlyoffice-bin  spice-gtk,/etc/gstreamer.conf
gtk-doc,docbook-xml  docbook-xsl  glib2-docs  python-lxml  python-pygments,dblatex,xfce4-dev-tools,/etc/gtk-doc.conf
gtk-update-icon-cache,gdk-pixbuf2  librsvg  hicolor-icon-theme,None,adwaita-icon-theme  gtk2  gtk3  lightdm-gtk-greeter-settings,/etc/gtk-update-icon-cache.conf
gtk-vnc,libgcrypt  gtk3  gnutls  libpulse,None,virt-manager,/etc/gtk-vnc.conf
gtk2,atk  cairo  desktop-file-utils  gtk-update-icon-cache  libcups  librsvg  libxcomposite  libxcursor  libxdamage  libxi  libxinerama  libxrandr  pango  shared-mime-info,adwaita-icon-theme,gtkmm  lxappearance,/etc/gtk2.conf
gtk3,adwaita-icon-theme  atk  cairo  cantarell-fonts  dconf  desktop-file-utils  fontconfig  fribidi  gdk-pixbuf2  glib2  harfbuzz  iso-codes  libcloudproviders  libcolord  libcups  libegl  libepoxy  libgl  librsvg  libxcomposite  libx11  libxcursor  libxdamage  libxext  libxfixes  libxi  libxinerama  libxkbcommon  libxrandr  libxrender  pango  shared-mime-info  tracker3  wayland  gtk-update-icon-cache,evince,arandr  ayatana-ido  chromium  electron22  firefox  gcr  girara  gtk-vnc  gtkmm3  gtksourceview4  libdbusmenu-gtk3  libhandy  libindicator-gtk3  libkeybinder3  libnma  libwnck3  libxfce4ui  lightdm-gtk-greeter  onlyoffice-bin  pasystray  polkit-gnome  seahorse  solaar  spice-gtk  visual-studio-code-bin  vte3  xarchiver  xfburn  xfce4-whiskermenu-plugin  xscreensaver  zenity,/etc/gtk3.conf
gtkmm,gtk2  pangomm  atkmm,None,nitrogen,/etc/gtkmm.conf
gtkmm3,atkmm  gtk3  pangomm  libatkmm-1.6.so=1-64  libcairomm-1.0.so=1-64  libglibmm-2.4.so=1-64  libpangomm-1.4.so=1-64  libsigc-2.0.so=0-64,None,paprefs  pavucontrol,/etc/gtkmm3.conf
gtksourceview4,gtk3  libxml2,None,mousepad  virt-manager,/etc/gtksourceview4.conf
guile,gmp  ncurses  libunistring  gc  libffi  libxcrypt,None,make,/etc/guile.conf
gumbo-parser,glibc,None,None,/etc/gumbo-parser.conf
gvfs,avahi  dconf  fuse3  gcr  gsettings-desktop-schemas  libarchive  libbluray  libcdio-paranoia  libgudev  libsecret  libsoup3  psmisc  udisks2,gtk3,None,/etc/gvfs.conf
gzip,glibc  bash  coreutils  sed  grep,less,base  base-devel  texinfo,/etc/gzip.conf
harfbuzz,libfreetype.so=6-64  libgraphite2.so=3-64  libglib-2.0.so=0-64  libgobject-2.0.so=0-64,harfbuzz-utils,chromium  electron22  freetype2  gtk3  harfbuzz-icu  jre-openjdk-headless  libass  librsvg  pango,/etc/harfbuzz.conf
harfbuzz-icu,libharfbuzz.so=0-64  libicuuc.so=73-64,None,texlive-bin,/etc/harfbuzz-icu.conf
haskell-aeson,ghc-libs  haskell-onetuple  haskell-quickcheck  haskell-attoparsec  haskell-base-compat-batteries  haskell-data-fix  haskell-dlist  haskell-generically  haskell-hashable  haskell-indexed-traversable  haskell-primitive  haskell-scientific  haskell-semialign  haskell-strict  haskell-tagged  haskell-text-short  haskell-th-abstraction  haskell-these  haskell-time-compat  haskell-unordered-containers  haskell-uuid-types  haskell-vector  haskell-witherable,None,haskell-aeson-pretty  haskell-citeproc  haskell-doctemplates  haskell-hslua-aeson  haskell-ipynb  haskell-pandoc  haskell-pandoc-lua-engine  haskell-pandoc-lua-marshal  haskell-pandoc-server  haskell-pandoc-types  haskell-servant  haskell-servant-server  haskell-skylighting-core  haskell-wai-extra  haskell-yaml,/etc/haskell-aeson.conf
haskell-aeson-pretty,ghc-libs  haskell-aeson  haskell-attoparsec  haskell-base-compat  haskell-cmdargs  haskell-scientific  haskell-unordered-containers  haskell-vector,None,haskell-citeproc  haskell-pandoc,/etc/haskell-aeson-pretty.conf
haskell-ansi-terminal,ghc-libs  haskell-colour,None,haskell-ansi-wl-pprint  haskell-skylighting-format-ansi  haskell-wai-extra,/etc/haskell-ansi-terminal.conf
haskell-ansi-wl-pprint,ghc-libs  haskell-ansi-terminal,None,haskell-optparse-applicative,/etc/haskell-ansi-wl-pprint.conf
haskell-appar,ghc-libs,None,haskell-iproute,/etc/haskell-appar.conf
haskell-asn1-encoding,ghc-libs  haskell-asn1-types  haskell-hourglass,None,haskell-asn1-parse  haskell-crypton-x509  haskell-crypton-x509-store  haskell-crypton-x509-validation  haskell-tls,/etc/haskell-asn1-encoding.conf
haskell-asn1-parse,ghc-libs  haskell-asn1-encoding  haskell-asn1-types,None,haskell-crypton-x509,/etc/haskell-asn1-parse.conf
haskell-asn1-types,ghc-libs  haskell-hourglass  haskell-memory,None,haskell-asn1-encoding  haskell-asn1-parse  haskell-crypton-x509  haskell-crypton-x509-store  haskell-crypton-x509-validation  haskell-tls,/etc/haskell-asn1-types.conf
haskell-assoc,ghc-libs  haskell-bifunctors  haskell-tagged,None,haskell-strict  haskell-these,/etc/haskell-assoc.conf
haskell-async,ghc-libs  haskell-hashable,None,haskell-conduit-extra  haskell-http-client  haskell-http2  haskell-streaming-commons  haskell-tls  haskell-typed-process  haskell-unliftio,/etc/haskell-async.conf
haskell-attoparsec,ghc-libs  haskell-scientific,None,haskell-aeson  haskell-aeson-pretty  haskell-attoparsec-iso8601  haskell-citeproc  haskell-conduit-extra  haskell-http-api-data  haskell-http-date  haskell-pandoc  haskell-servant  haskell-skylighting-core  haskell-wai-cors  haskell-xml-conduit  haskell-yaml,/etc/haskell-attoparsec.conf
haskell-attoparsec-iso8601,ghc-libs  haskell-attoparsec  haskell-base-compat-batteries  haskell-time-compat,None,haskell-http-api-data,/etc/haskell-attoparsec-iso8601.conf
haskell-auto-update,ghc-libs,None,haskell-fast-logger  haskell-time-manager  haskell-warp,/etc/haskell-auto-update.conf
haskell-base-compat,ghc-libs,None,haskell-aeson-pretty  haskell-base-compat-batteries  haskell-http-api-data  haskell-servant  haskell-servant-server,/etc/haskell-base-compat.conf
haskell-base-compat-batteries,ghc-libs  haskell-base-compat,None,haskell-aeson  haskell-attoparsec-iso8601,/etc/haskell-base-compat-batteries.conf
haskell-base-orphans,ghc-libs,None,haskell-bifunctors  haskell-distributive  haskell-hashable  haskell-onetuple  haskell-semigroupoids  haskell-time-compat  haskell-transformers-base  haskell-witherable,/etc/haskell-base-orphans.conf
haskell-base-unicode-symbols,ghc-libs,None,haskell-wai-cors,/etc/haskell-base-unicode-symbols.conf
haskell-base16-bytestring,ghc-libs,None,haskell-text-conversions,/etc/haskell-base16-bytestring.conf
haskell-base64,ghc-libs  haskell-text-short,None,haskell-pandoc  haskell-pandoc-server,/etc/haskell-base64.conf
haskell-base64-bytestring,ghc-libs,None,haskell-http-client  haskell-ipynb  haskell-servant-server  haskell-skylighting-core  haskell-text-conversions  haskell-wai-extra,/etc/haskell-base64-bytestring.conf
haskell-basement,ghc-libs,None,haskell-crypton  haskell-crypton-connection  haskell-cryptonite  haskell-memory  haskell-pem  haskell-socks,/etc/haskell-basement.conf
haskell-bifunctors,ghc-libs  haskell-base-orphans  haskell-comonad  haskell-tagged  haskell-th-abstraction,None,haskell-assoc  haskell-semigroupoids  haskell-servant,/etc/haskell-bifunctors.conf
haskell-bitvec,ghc-libs  haskell-primitive  haskell-vector,None,haskell-vector-algorithms,/etc/haskell-bitvec.conf
haskell-blaze-builder,ghc-libs,None,haskell-blaze-html  haskell-blaze-markup  haskell-http-client,/etc/haskell-blaze-builder.conf
haskell-blaze-html,ghc-libs  haskell-blaze-builder  haskell-blaze-markup,None,haskell-pandoc  haskell-skylighting-format-blaze-html  haskell-wai-app-static  haskell-xml-conduit,/etc/haskell-blaze-html.conf
haskell-blaze-markup,ghc-libs  haskell-blaze-builder,None,haskell-blaze-html  haskell-pandoc  haskell-wai-app-static  haskell-xml-conduit,/etc/haskell-blaze-markup.conf
haskell-boring,ghc-libs  haskell-tagged,None,haskell-dec  haskell-singleton-bool,/etc/haskell-boring.conf
haskell-bsb-http-chunked,ghc-libs,None,haskell-warp,/etc/haskell-bsb-http-chunked.conf
haskell-byteorder,ghc-libs,None,haskell-iproute  haskell-wai-logger,/etc/haskell-byteorder.conf
haskell-call-stack,ghc-libs,None,haskell-hunit  haskell-wai-extra,/etc/haskell-call-stack.conf
haskell-case-insensitive,ghc-libs  haskell-hashable,None,haskell-citeproc  haskell-http-client  haskell-http-client-tls  haskell-http-media  haskell-http-types  haskell-http2  haskell-pandoc  haskell-servant  haskell-skylighting-core  haskell-wai-cors  haskell-wai-extra  haskell-warp,/etc/haskell-case-insensitive.conf
haskell-cereal,ghc-libs,None,haskell-socks  haskell-tls,/etc/haskell-cereal.conf
haskell-citeproc,ghc-libs  haskell-aeson  haskell-aeson-pretty  haskell-attoparsec  haskell-case-insensitive  haskell-data-default  haskell-file-embed  haskell-pandoc-types  haskell-safe  haskell-scientific  haskell-text-icu  haskell-unicode-collation  haskell-uniplate  haskell-vector  haskell-xml-conduit,None,haskell-pandoc  haskell-pandoc-lua-engine,/etc/haskell-citeproc.conf
haskell-cmdargs,ghc-libs,None,haskell-aeson-pretty,/etc/haskell-cmdargs.conf
haskell-colour,ghc-libs,None,haskell-ansi-terminal  haskell-skylighting-core  haskell-skylighting-format-ansi,/etc/haskell-colour.conf
haskell-commonmark,ghc-libs  haskell-unicode-data  haskell-unicode-transforms,None,haskell-commonmark-extensions  haskell-commonmark-pandoc  haskell-pandoc,/etc/haskell-commonmark.conf
haskell-commonmark-extensions,ghc-libs  haskell-commonmark  haskell-emojis  haskell-network-uri,None,haskell-commonmark-pandoc  haskell-pandoc,/etc/haskell-commonmark-extensions.conf
haskell-commonmark-pandoc,ghc-libs  haskell-commonmark  haskell-commonmark-extensions  haskell-pandoc-types,None,haskell-pandoc,/etc/haskell-commonmark-pandoc.conf
haskell-comonad,ghc-libs  haskell-distributive  haskell-indexed-traversable  haskell-tagged  haskell-transformers-compat,None,haskell-bifunctors  haskell-semigroupoids,/etc/haskell-comonad.conf
haskell-conduit,ghc-libs  haskell-mono-traversable  haskell-primitive  haskell-resourcet  haskell-unliftio-core  haskell-vector,None,haskell-conduit-extra  haskell-libyaml  haskell-xml-conduit  haskell-yaml,/etc/haskell-conduit.conf
haskell-conduit-extra,ghc-libs  haskell-async  haskell-attoparsec  haskell-conduit  haskell-network  haskell-primitive  haskell-resourcet  haskell-streaming-commons  haskell-typed-process  haskell-unliftio-core,None,haskell-xml-conduit,/etc/haskell-conduit-extra.conf
haskell-constraints,ghc-libs  haskell-hashable  haskell-transformers-compat  haskell-type-equality,None,haskell-servant  haskell-servant-server,/etc/haskell-constraints.conf
haskell-contravariant,ghc-libs  haskell-statevar,None,haskell-semigroupoids,/etc/haskell-contravariant.conf
haskell-cookie,ghc-libs  haskell-data-default-class,None,haskell-http-api-data  haskell-http-client  haskell-wai-extra,/etc/haskell-cookie.conf
haskell-crypton,ghc-libs  haskell-basement  haskell-memory,None,haskell-crypton-x509  haskell-crypton-x509-store  haskell-crypton-x509-validation  haskell-http-client-tls  haskell-tls,/etc/haskell-crypton.conf
haskell-crypton-connection,ghc-libs  haskell-basement  haskell-crypton-x509  haskell-crypton-x509-store  haskell-crypton-x509-system  haskell-crypton-x509-validation  haskell-data-default-class  haskell-network  haskell-socks  haskell-tls,None,haskell-http-client-tls  haskell-pandoc,/etc/haskell-crypton-connection.conf
haskell-crypton-x509,ghc-libs  haskell-asn1-encoding  haskell-asn1-parse  haskell-asn1-types  haskell-crypton  haskell-hourglass  haskell-memory  haskell-pem,None,haskell-crypton-connection  haskell-crypton-x509-store  haskell-crypton-x509-system  haskell-crypton-x509-validation  haskell-tls  haskell-warp,/etc/haskell-crypton-x509.conf
haskell-crypton-x509-store,ghc-libs  haskell-asn1-encoding  haskell-asn1-types  haskell-crypton  haskell-crypton-x509  haskell-pem,None,haskell-crypton-connection  haskell-crypton-x509-system  haskell-crypton-x509-validation  haskell-tls,/etc/haskell-crypton-x509-store.conf
haskell-crypton-x509-system,ghc-libs  haskell-crypton-x509  haskell-crypton-x509-store  haskell-pem,None,haskell-crypton-connection,/etc/haskell-crypton-x509-system.conf
haskell-crypton-x509-validation,ghc-libs  haskell-asn1-encoding  haskell-asn1-types  haskell-crypton  haskell-crypton-x509  haskell-crypton-x509-store  haskell-data-default-class  haskell-hourglass  haskell-memory  haskell-pem,None,haskell-crypton-connection  haskell-tls,/etc/haskell-crypton-x509-validation.conf
haskell-cryptonite,ghc-libs  haskell-basement  haskell-memory,None,haskell-wai-app-static,/etc/haskell-cryptonite.conf
haskell-data-array-byte,ghc-libs,None,haskell-hashable,/etc/haskell-data-array-byte.conf
haskell-data-default,ghc-libs  haskell-data-default-class  haskell-data-default-instances-containers  haskell-data-default-instances-dlist  haskell-data-default-instances-old-locale,None,haskell-citeproc  haskell-pandoc  haskell-pandoc-lua-engine  haskell-pandoc-server,/etc/haskell-data-default.conf
haskell-data-default-class,ghc-libs,None,haskell-cookie  haskell-crypton-connection  haskell-crypton-x509-validation  haskell-data-default  haskell-data-default-instances-containers  haskell-data-default-instances-dlist  haskell-data-default-instances-old-locale  haskell-http-client-tls  haskell-tls  haskell-wai-extra  haskell-xml-conduit,/etc/haskell-data-default-class.conf
haskell-data-default-instances-containers,ghc-libs  haskell-data-default-class,None,haskell-data-default,/etc/haskell-data-default-instances-containers.conf
haskell-data-default-instances-dlist,ghc-libs  haskell-data-default-class  haskell-dlist,None,haskell-data-default,/etc/haskell-data-default-instances-dlist.conf
haskell-data-default-instances-old-locale,ghc-libs  haskell-data-default-class  haskell-old-locale,None,haskell-data-default,/etc/haskell-data-default-instances-old-locale.conf
haskell-data-fix,ghc-libs  haskell-hashable,None,haskell-aeson,/etc/haskell-data-fix.conf
haskell-dec,ghc-libs  haskell-boring,None,haskell-singleton-bool,/etc/haskell-dec.conf
haskell-digest,ghc-libs  zlib,None,haskell-zip-archive,/etc/haskell-digest.conf
haskell-distributive,ghc-libs  haskell-base-orphans  haskell-tagged,None,haskell-comonad  haskell-semigroupoids,/etc/haskell-distributive.conf
haskell-dlist,ghc-libs,None,haskell-aeson  haskell-data-default-instances-dlist  haskell-glob,/etc/haskell-dlist.conf
haskell-doclayout,ghc-libs  haskell-emojis  haskell-safe,None,haskell-doctemplates  haskell-gridtables  haskell-hslua-module-doclayout  haskell-pandoc  haskell-pandoc-lua-engine,/etc/haskell-doclayout.conf
haskell-doctemplates,ghc-libs  haskell-aeson  haskell-doclayout  haskell-safe  haskell-scientific  haskell-text-conversions  haskell-vector,None,haskell-pandoc  haskell-pandoc-lua-engine  haskell-pandoc-server,/etc/haskell-doctemplates.conf
haskell-easy-file,ghc-libs,None,haskell-fast-logger,/etc/haskell-easy-file.conf
haskell-emojis,ghc-libs,None,haskell-commonmark-extensions  haskell-doclayout  haskell-pandoc,/etc/haskell-emojis.conf
haskell-erf,ghc-libs,None,haskell-quickcheck,/etc/haskell-erf.conf
haskell-fast-logger,ghc-libs  haskell-auto-update  haskell-easy-file  haskell-unix-compat  haskell-unix-time,None,haskell-wai-extra  haskell-wai-logger,/etc/haskell-fast-logger.conf
haskell-file-embed,ghc-libs,None,haskell-citeproc  haskell-pandoc  haskell-wai-app-static,/etc/haskell-file-embed.conf
haskell-generically,ghc-libs,None,haskell-aeson,/etc/haskell-generically.conf
haskell-ghc-bignum-orphans,ghc-libs,None,haskell-hashable,/etc/haskell-ghc-bignum-orphans.conf
haskell-glob,ghc-libs  haskell-dlist  haskell-transformers-compat,None,haskell-pandoc,/etc/haskell-glob.conf
haskell-gridtables,ghc-libs  haskell-doclayout,None,haskell-pandoc,/etc/haskell-gridtables.conf
haskell-haddock-library,ghc-libs,None,haskell-pandoc,/etc/haskell-haddock-library.conf
haskell-hashable,ghc-libs  haskell-base-orphans  haskell-data-array-byte  haskell-ghc-bignum-orphans,None,haskell-aeson  haskell-async  haskell-case-insensitive  haskell-constraints  haskell-data-fix  haskell-hslua-aeson  haskell-http-api-data  haskell-mono-traversable  haskell-psqueues  haskell-scientific  haskell-semialign  haskell-semigroupoids  haskell-strict  haskell-text-short  haskell-these  haskell-time-compat  haskell-uniplate  haskell-unordered-containers  haskell-uuid-types  haskell-vault  haskell-warp  haskell-witherable,/etc/haskell-hashable.conf
haskell-hourglass,ghc-libs,None,haskell-asn1-encoding  haskell-asn1-types  haskell-crypton-x509  haskell-crypton-x509-validation,/etc/haskell-hourglass.conf
haskell-hslua,ghc-libs  haskell-hslua-aeson  haskell-hslua-classes  haskell-hslua-core  haskell-hslua-marshalling  haskell-hslua-objectorientation  haskell-hslua-packaging  haskell-hslua-typing,None,haskell-hslua-module-doclayout  haskell-hslua-module-path  haskell-hslua-module-version  haskell-pandoc-lua-engine  haskell-pandoc-lua-marshal,/etc/haskell-hslua.conf
haskell-hslua-aeson,ghc-libs  haskell-aeson  haskell-hashable  haskell-hslua-core  haskell-hslua-marshalling  haskell-scientific  haskell-unordered-containers  haskell-vector,None,haskell-hslua,/etc/haskell-hslua-aeson.conf
haskell-hslua-classes,ghc-libs  haskell-hslua-core  haskell-hslua-marshalling,None,haskell-hslua,/etc/haskell-hslua-classes.conf
haskell-hslua-core,ghc-libs  haskell-lua,None,haskell-hslua  haskell-hslua-aeson  haskell-hslua-classes  haskell-hslua-list  haskell-hslua-marshalling  haskell-hslua-module-system  haskell-hslua-module-text  haskell-hslua-module-zip  haskell-hslua-objectorientation  haskell-hslua-packaging  haskell-hslua-repl  haskell-hslua-typing  hslua-cli,/etc/haskell-hslua-core.conf
haskell-hslua-list,ghc-libs  haskell-hslua-core,None,haskell-hslua-module-zip  haskell-pandoc-lua-marshal,/etc/haskell-hslua-list.conf
haskell-hslua-marshalling,ghc-libs  haskell-hslua-core,None,haskell-hslua  haskell-hslua-aeson  haskell-hslua-classes  haskell-hslua-module-path  haskell-hslua-module-system  haskell-hslua-module-text  haskell-hslua-module-version  haskell-hslua-module-zip  haskell-hslua-objectorientation  haskell-hslua-packaging  haskell-hslua-typing  haskell-pandoc-lua-marshal  hslua-cli,/etc/haskell-hslua-marshalling.conf
haskell-hslua-module-doclayout,ghc-libs  haskell-doclayout  haskell-hslua,None,haskell-pandoc-lua-engine,/etc/haskell-hslua-module-doclayout.conf
haskell-hslua-module-path,ghc-libs  haskell-hslua  haskell-hslua-marshalling  haskell-hslua-packaging,None,haskell-pandoc-lua-engine,/etc/haskell-hslua-module-path.conf
haskell-hslua-module-system,ghc-libs  haskell-hslua-core  haskell-hslua-marshalling  haskell-hslua-packaging  haskell-temporary,None,haskell-pandoc-lua-engine,/etc/haskell-hslua-module-system.conf
haskell-hslua-module-text,ghc-libs  haskell-hslua-core  haskell-hslua-marshalling  haskell-hslua-packaging,None,haskell-pandoc-lua-engine,/etc/haskell-hslua-module-text.conf
haskell-hslua-module-version,ghc-libs  haskell-hslua  haskell-hslua-marshalling  haskell-hslua-packaging,None,haskell-pandoc-lua-engine,/etc/haskell-hslua-module-version.conf
haskell-hslua-module-zip,ghc-libs  haskell-hslua-core  haskell-hslua-list  haskell-hslua-marshalling  haskell-hslua-packaging  haskell-hslua-typing  haskell-zip-archive,None,haskell-pandoc-lua-engine,/etc/haskell-hslua-module-zip.conf
haskell-hslua-objectorientation,ghc-libs  haskell-hslua-core  haskell-hslua-marshalling  haskell-hslua-typing,None,haskell-hslua  haskell-hslua-packaging,/etc/haskell-hslua-objectorientation.conf
haskell-hslua-packaging,ghc-libs  haskell-hslua-core  haskell-hslua-marshalling  haskell-hslua-objectorientation  haskell-hslua-typing,None,haskell-hslua  haskell-hslua-module-path  haskell-hslua-module-system  haskell-hslua-module-text  haskell-hslua-module-version  haskell-hslua-module-zip,/etc/haskell-hslua-packaging.conf
haskell-hslua-repl,ghc-libs  haskell-hslua-core  haskell-isocline  haskell-lua,None,haskell-pandoc-lua-engine  hslua-cli,/etc/haskell-hslua-repl.conf
haskell-hslua-typing,ghc-libs  haskell-hslua-core  haskell-hslua-marshalling,None,haskell-hslua  haskell-hslua-module-zip  haskell-hslua-objectorientation  haskell-hslua-packaging,/etc/haskell-hslua-typing.conf
haskell-http-api-data,ghc-libs  haskell-attoparsec  haskell-attoparsec-iso8601  haskell-base-compat  haskell-cookie  haskell-hashable  haskell-http-types  haskell-tagged  haskell-time-compat  haskell-unordered-containers  haskell-uuid-types,None,haskell-servant  haskell-servant-server,/etc/haskell-http-api-data.conf
haskell-http-client,ghc-libs  haskell-async  haskell-base64-bytestring  haskell-blaze-builder  haskell-case-insensitive  haskell-cookie  haskell-http-types  haskell-iproute  haskell-mime-types  haskell-network  haskell-network-uri  haskell-random  haskell-streaming-commons,None,haskell-http-client-tls  haskell-pandoc,/etc/haskell-http-client.conf
